epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,74.7187,1.23674,1.06278,1.33083,0.71198,0.75273,0.838,0.52637,1.41469,2.11059,1.28465,0.0014588,0.0014588,0.0014588
43,76.4363,1.19372,1.01768,1.2846,0.86866,0.95652,0.93667,0.58712,1.35873,1.61649,1.26787,0.0014456,0.0014456,0.0014456
44,78.18,1.22467,1.13805,1.32987,0.94338,0.72503,0.85065,0.49508,1.56993,1.4589,1.36402,0.0014324,0.0014324,0.0014324
45,79.9856,1.17926,1.04113,1.31265,0.89515,0.74253,0.8945,0.55903,1.32591,1.1417,1.17624,0.0014192,0.0014192,0.0014192
46,81.7082,1.18105,1.04864,1.27971,0.95322,0.88643,0.94858,0.62935,1.2725,1.07058,1.23934,0.001406,0.001406,0.001406
47,83.5662,1.2096,1.07831,1.29819,0.94481,1,0.98958,0.62616,1.28067,0.85203,1.22773,0.0013928,0.0013928,0.0013928
48,85.363,1.22926,1.12976,1.30634,0.96299,0.82609,0.91307,0.58523,1.38643,0.90443,1.22781,0.0013796,0.0013796,0.0013796
49,87.092,1.23102,1.05221,1.3498,0.97246,0.78261,0.88795,0.54319,1.41855,0.91725,1.23665,0.0013664,0.0013664,0.0013664
50,88.7937,1.15976,1.03812,1.27616,0.94998,0.82571,0.89923,0.60048,1.29579,0.85912,1.15958,0.0013532,0.0013532,0.0013532
51,90.5011,1.16529,1.05243,1.27683,0.99602,0.78261,0.83012,0.56042,1.33783,1.03309,1.16625,0.00134,0.00134,0.00134
52,92.2464,1.22133,1.043,1.30054,0.95003,0.91304,0.92596,0.66535,1.17851,0.75986,1.14395,0.0013268,0.0013268,0.0013268
53,94.0174,1.09924,0.94708,1.22178,0.95404,0.90283,0.95262,0.61842,1.2964,0.76184,1.16842,0.0013136,0.0013136,0.0013136
54,95.7605,1.15205,0.93007,1.25928,0.90771,0.85568,0.93223,0.60231,1.28959,0.90695,1.18854,0.0013004,0.0013004,0.0013004
55,97.4466,1.14302,0.96523,1.24135,0.92811,0.91304,0.9638,0.63224,1.22215,0.79178,1.13141,0.0012872,0.0012872,0.0012872
56,99.365,1.1309,0.99089,1.22939,0.95447,0.91143,0.93584,0.61781,1.19631,0.89824,1.14723,0.001274,0.001274,0.001274
57,101.05,1.19085,0.91957,1.25966,0.92831,0.78261,0.86386,0.56768,1.22906,1.07717,1.1765,0.0012608,0.0012608,0.0012608
58,102.769,1.12161,0.91196,1.22986,0.98781,0.69565,0.84684,0.43787,1.63166,1.12584,1.36033,0.0012476,0.0012476,0.0012476
59,104.479,1.12359,0.95222,1.20833,0.9329,0.86957,0.92086,0.59152,1.40212,0.83193,1.27244,0.0012344,0.0012344,0.0012344
60,106.218,1.1548,1.00486,1.25824,0.99315,0.91304,0.9771,0.59257,1.44662,0.68483,1.26275,0.0012212,0.0012212,0.0012212
61,107.924,1.12832,0.96487,1.24739,0.99382,0.91304,0.96135,0.52396,1.72553,0.7896,1.39737,0.001208,0.001208,0.001208
62,109.658,1.1224,0.95864,1.22521,0.98791,0.91304,0.98705,0.61235,1.42309,0.70001,1.28018,0.0011948,0.0011948,0.0011948
63,111.373,1.111,0.91028,1.20745,0.95647,0.95531,0.98499,0.56543,1.49811,0.71984,1.29958,0.0011816,0.0011816,0.0011816
64,113.229,1.06174,0.92984,1.2192,0.94417,0.95652,0.98612,0.58972,1.42156,0.71656,1.23201,0.0011684,0.0011684,0.0011684
65,114.962,1.1151,0.90012,1.25282,0.9757,0.95652,0.98786,0.62316,1.34836,0.65228,1.18111,0.0011552,0.0011552,0.0011552
66,116.691,1.08422,0.80616,1.19385,0.95427,0.90743,0.98478,0.61273,1.39068,0.67846,1.21199,0.001142,0.001142,0.001142
67,118.388,1.13517,0.91706,1.20827,0.95319,0.91304,0.97609,0.58819,1.47845,0.76417,1.26059,0.0011288,0.0011288,0.0011288
68,120.115,1.08113,0.86278,1.23717,0.99236,0.91304,0.96211,0.55643,1.56693,0.78953,1.30262,0.0011156,0.0011156,0.0011156
69,121.802,1.05712,0.84599,1.22272,0.99184,0.91304,0.96781,0.61519,1.41155,0.79222,1.27274,0.0011024,0.0011024,0.0011024
70,123.55,1.06022,0.86356,1.20301,0.94985,0.95652,0.9753,0.63556,1.37068,0.70108,1.2557,0.0010892,0.0010892,0.0010892
71,125.254,0.98992,0.82785,1.16294,0.91596,0.94802,0.98157,0.64671,1.27938,0.65345,1.19086,0.001076,0.001076,0.001076
72,126.949,1.05328,0.81385,1.18848,0.95718,0.97242,0.99167,0.68558,1.21423,0.59386,1.09656,0.0010628,0.0010628,0.0010628
73,128.684,1.04314,0.8408,1.15913,0.99855,1,0.995,0.67702,1.25703,0.59152,1.12668,0.0010496,0.0010496,0.0010496
